"";"Methode";"alpha";"beta";"sigma2"
"305";"Reg. Lin.";-0,0250848880147735;1,03515534935831;0,0483730539613842
"306";"Reg. Lin. Sto.";-0,0196577321877326;1,03707218212284;0,183177529377509
"307";"EM";0,0445855787027887;1,06832028909632;0,123327068500512
"308";"Boot";0,121755442982275;1,04042875074384;0,149690550258534
"309";"Post";0,109515167917613;1,06341512562031;0,20121907621291
"310";"Moy";0,123778973337479;0,609609168134888;0,0755919590526299
"311";"Reg. Lin.";0,115926947536047;1,06467580168392;0,0419004966118094
"312";"Reg. Lin. Sto.";0,115710080827945;1,05884797254798;0,135417024517661
"313";"EM";-0,00429846125755598;0,894650854762717;0,115359913652028
"314";"Boot";0,00917719203659857;0,896532647617074;0,157176436450049
"315";"Post";-0,0082870482240739;0,889646678783537;0,191314789608404
"316";"Moy";0,123283953147136;0,560153707592423;0,0700175756900544
"317";"Reg. Lin.";-0,0112765956332856;0,895034880786498;0,0415896652034557
"318";"Reg. Lin. Sto.";-0,00986543896277629;0,89638485112799;0,129855625912666
"319";"EM";0,0190386502324644;1,01512320701996;0,10441256719234
"320";"Boot";0,0150283054667281;1,02129648360178;0,129958252158938
"321";"Post";0,0415618938861818;1,01119443453716;0,172645966464328
"322";"Moy";0,0921423369969553;0,749764631815177;0,0600492279689976
"323";"Reg. Lin.";0,049731173365593;1,01279341758185;0,0391023930175228
"324";"Reg. Lin. Sto.";0,0487405933996573;1,01624522753583;0,114558755162269
"325";"EM";0,0661943641607605;1,03838610850758;0,148241732456598
"326";"Boot";0,161146051183164;1,04467510167904;0,20415609263967
"327";"Post";0,171103931376551;1,04212273904244;0,22979975619065
"328";"Moy";0,127634975681092;0,717750458154229;0,081572185680552
"329";"Reg. Lin.";0,171860524559939;1,04358381759322;0,0456956476291602
"330";"Reg. Lin. Sto.";0,169330090333508;1,04145096158142;0,160924758377713
"331";"EM";-0,0255719366831621;0,880968541555865;0,114117161651921
"332";"Boot";-0,0559556810390358;0,881216210552259;0,154437873076595
"333";"Post";-0,0670759412605767;0,881828628606601;0,186340214088437
"334";"Moy";-0,0706731784566996;0,638526304744388;0,0628960538847495
"335";"Reg. Lin.";-0,066408617717144;0,882004866900235;0,0408288688619758
"336";"Reg. Lin. Sto.";-0,0673792282125239;0,882079037435779;0,126357927928968
"337";"EM";0,0017203743531823;0,907544498410733;0,177389082734733
"338";"Boot";-0,0363826417466322;0,874050085780636;0,239308073341321
"339";"Post";-0,00718222560992746;0,893788189334368;0,298329553968642
"340";"Moy";-0,0409724825577728;0,576203640062663;0,0732580490731246
"341";"Reg. Lin.";0,00446306166197676;0,907477978306784;0,0515266067448938
"342";"Reg. Lin. Sto.";0,00629243987029734;0,919083884092896;0,207099190647583
"343";"EM";-0,00986683758480796;0,984700010246239;0,183363657275615
"344";"Boot";-0,0150838797843706;0,969176351585696;0,249129178766255
"345";"Post";-0,0259876075715367;0,989115600244184;0,307714343318227
"346";"Moy";-0,00798297054765618;0,673952080767497;0,0774932185301438
"347";"Reg. Lin.";-0,025612224051485;0,985839522067182;0,0518822888987195
"348";"Reg. Lin. Sto.";-0,0253711452569938;0,97881440107842;0,218000250121174
"349";"EM";0,00286024956460305;0,882012646019337;0,135098052951766
"350";"Boot";0,0369053956492483;0,885446201955511;0,183387928208122
"351";"Post";0,0131345295727052;0,889430533871685;0,221975861602703
"352";"Moy";0,0454182453874087;0,558619168482319;0,0665521201684046
"353";"Reg. Lin.";0,00742313508262099;0,881456123635256;0,0446850518094714
"354";"Reg. Lin. Sto.";0,00642773294055113;0,889029974988487;0,15412968402388
"355";"EM";0,0100848907871444;0,886147418646404;0,190012941454399
"356";"Boot";0,000166058511261339;0,860360472300029;0,265812169711557
"357";"Post";0,0321264854150059;0,891995263247218;0,305644117642274
"358";"Moy";-0,0587758355691583;0,47083035655206;0,0733456734122424
"359";"Reg. Lin.";0,0261922240422029;0,885995430929047;0,0536392380481672
"360";"Reg. Lin. Sto.";0,0340770044551014;0,883464184829274;0,226656323130179
"361";"EM";0,0326309649523024;1,09527256696611;0,167195291287467
"362";"Boot";0,109819481453047;1,10019976072671;0,242607831226842
"363";"Post";0,0889020478170279;1,09337720534867;0,285356586121442
"364";"Moy";0,0210244024560046;0,71189043254396;0,0823275064747899
"365";"Reg. Lin.";0,0851933931589492;1,09982274016683;0,0491912669589561
"366";"Reg. Lin. Sto.";0,0847854157267197;1,1039674601477;0,192758399169218
"367";"EM";-0,0110858901443556;1,07228752446637;0,146978518057264
"368";"Boot";-0,018344077067093;1,07079703329451;0,193723352650237
"369";"Post";-0,0269097643547282;1,06749542096596;0,241747355287436
"370";"Moy";-0,042346837688654;0,692616764985454;0,0815860137709148
"371";"Reg. Lin.";-0,028809264269811;1,07252577215778;0,0464053124082024
"372";"Reg. Lin. Sto.";-0,0327636858935088;1,07265094822048;0,166919133062191
"373";"EM";-0,0238735150786989;1,11262662827897;0,161287736202252
"374";"Boot";-0,0970830827965681;1,11907147603398;0,214199549404566
"375";"Post";-0,064324074599702;1,11059880396679;0,261983073368905
"376";"Moy";-0,206958023652382;0,824715505137132;0,0733416790581983
"377";"Reg. Lin.";-0,062271656337181;1,10703586703504;0,0488287000096941
"378";"Reg. Lin. Sto.";-0,0619874758671468;1,10555540512419;0,185692291558735
"379";"EM";-0,0107581362942078;1,0431127780479;0,122354038548141
"380";"Boot";-0,0379977592104692;1,02358899499358;0,169240190227516
"381";"Post";-0,0357056648559198;1,0430588109522;0,203952525026823
"382";"Moy";-0,150061959444811;0,667889473064568;0,0708324892758693
"383";"Reg. Lin.";-0,0281855770500562;1,04180287248732;0,0423700801366742
"384";"Reg. Lin. Sto.";-0,0268689276795352;1,03979320599327;0,136534599198078
"385";"EM";-0,0128541754062804;0,948582951042637;0,20912200426948
"386";"Boot";-0,00660031622955561;0,95458316188238;0,271789938620409
"387";"Post";-0,0389894679790603;0,956236818035001;0,348781543001459
"388";"Moy";0,0232467413668479;0,585733064827234;0,0789075665547338
"389";"Reg. Lin.";-0,0329800090539319;0,946972150334734;0,0591419949490754
"390";"Reg. Lin. Sto.";-0,0393474580591844;0,947690546190248;0,249192068199264
"391";"EM";0,0408654307196856;0,948832666226081;0,10262220530014
"392";"Boot";0,128857707211851;0,93880375355757;0,143193973141112
"393";"Post";0,108064696790143;0,949420196499361;0,164483869256491
"394";"Moy";0,090861014872874;0,724017474273763;0,0585174651881297
"395";"Reg. Lin.";0,106245439949391;0,949385750552582;0,0382383604941537
"396";"Reg. Lin. Sto.";0,107854092539529;0,94738294264699;0,110424726489277
"397";"EM";-0,00443008406499866;1,04788136649462;0,121039012263526
"398";"Boot";-0,0340229363782958;1,0440431201301;0,178420187397195
"399";"Post";-0,00413126207615322;1,04420942090817;0,200678362425753
"400";"Moy";-0,0306981681305941;0,750149672491306;0,0642890511871124
"401";"Reg. Lin.";-0,0114980674862693;1,0481596996175;0,0422059737559507
"402";"Reg. Lin. Sto.";-0,0101598956168701;1,04792885268979;0,136623215894759
"403";"EM";-0,00396047046742502;1,03030241187469;0,169093881554839
"404";"Boot";-0,000805227891610187;1,02296698665442;0,232923499626795
"405";"Post";-0,00870827098130503;1,0322158017319;0,274858322836781
